Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Stop/Start System (Engine Management System)  Description,Lockup Torque Converter,Calc Approach Desc,Cyl Deact?,Trans Creeper Gear
,4,31.6394,6,10.0,2,2,No,,Derived 5-cycle label,N,N
,6,38.8734,6,15.0,2,2,Yes,   ,Vehicle Specific 5-cycle label,^^,N
2.0,4,Mod,6,,2,2,No,N,not filled in,^^,N
,6,29.5284,6,10.0,2,2,none,N,Derived 5-cycle label,N,N
4.5,8,18.6649,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
6.7,12,17.4989,8,10.0,2,2,No,   ,Vehicle Specific 5-cycle label,N,N
1.6,4,39.1347,6,15.0,2,2,No,   ,Derived 5-cycle label,^^,N
2.0,4,29.5075,8,85.0,2,2,No,,Derived 5-cycle label,^^,N
5.0,8,22.6216,6,10.0,2,2,none,Y,not filled in,N,N
,6,24.887,6,10.0,2,2,No,Y,Derived 5-cycle label,^^,N
,8,21.8636,8,10.0,2,2,none,Y,Derived 5-cycle label,N,N
3.4,6,29.9192,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
2.7,6,33.6298,7,10.0,2,2,none,N,Derived 5-cycle label,N,N
1.8,4,35.9356,6,15.0,2,2,none,Y,not filled in,N,N
2.5,4,34.5613,6,15.0,2,2,none,,Derived 5-cycle label,^^,N
2.5,4,31.0921,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
2.0,4,31.3793,6,10.0,2,2,No,Y,not filled in,^^,N
6.0,8,15.13,6,85.0,1,1,No,Y,Derived 5-cycle label,N,N
3.6,6,29.2021,6,10.0,2,2,none,Y,not filled in,N,N
,8,23.1471,7,10.0,2,2,Yes,Y,not filled in,^^,N
,8,21.4943,8,10.0,2,2,No,Y,Derived 5-cycle label,N,N
2.4,4,33.0426,5,10.0,2,2,No,   ,Derived 5-cycle label,N,N
2.5,4,34.3969,6,15.0,2,2,none,N,not filled in,^^,N
,8,20.1645,8,10.0,2,2,Yes,   ,Derived 5-cycle label,^^,N
,8,18.3618,4,85.0,1,1,No,Y,Derived 5-cycle label,N,N
6.0,12,18.3883,5,10.0,2,1,none,Y,not filled in,^^,N
3.6,6,28.1841,6,85.0,2,2,No,   ,Derived 5-cycle label,N,N
,4,55.2288,6,15.0,2,2,Yes,,Vehicle Specific 5-cycle label,N,N
3.0,6,23.8527,6,85.0,2,2,No,Y,not filled in,^^,N
,6,25.9349,6,85.0,2,2,No,Y,Derived 5-cycle label,N,N
3.5,6,40.9298,7,10.0,2,2,No,Y,not filled in,^^,N
2.0,4,34.1556,8,10.0,2,2,Yes,   ,Derived 5-cycle label,N,N
,4,30.8901,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
1.8,4,33.0786,7,10.0,2,2,No,Y,not filled in,^^,N
,6,24.7683,8,85.0,2,2,Yes,Y,Derived 5-cycle label,N,N
,8,20.1132,6,10.0,2,2,No,Y,Derived 5-cycle label,N,N
,6,28.1631,8,10.0,2,2,No,   ,Derived 5-cycle label,N,N
,6,33.7545,6,10.0,2,2,No,,Derived 5-cycle label,^^,N
3.5,6,32.5607,6,15.0,2,2,No,   ,Derived 5-cycle label,N,N
,4,44.5744,6,,2,2,No,,Vehicle Specific 5-cycle label,N,N
2.0,4,Mod,6,,2,2,No,Y,Derived 5-cycle label,^^,N
3.5,6,26.0815,6,15.0,2,2,No,,not filled in,^^,N
3.5,6,29.4449,7,10.0,2,2,Yes,   ,not filled in,^^,N
3.5,6,22.0158,6,15.0,2,2,none,Y,Derived 5-cycle label,N,N
,6,23.7628,6,10.0,2,2,none,Y,Derived 5-cycle label,N,N
5.3,8,18.3252,4,85.0,1,1,No,   ,Derived 5-cycle label,N,N
